name,zip,orders,month,delivery_service
Sonnen Tafelspitz,1120,575,1,competition
Elegante Taverna,4614,283,1,competition
Verträumte Gastzimmer,1010,43,1,competition
Traditionelle Schanze,4053,1054,1,competition
Wolkenkratzer Stubn,9020,168,1,competition
Blumen Schanze,4072,7,1,competition
Geheimnisvolle Taverne,4020,167,1,competition
Bäuerliche Jausenstation,1220,610,1,competition
Quaint Hideaway,2822,527,1,competition
Prachtvolle Hof,9020,8,1,competition
Stern Gastzimmer,1070,6,1,competition
Kleine Brauerei,4020,131,1,competition
Frische Speiselokal,5020,373,1,competition
Bustling Weinbistro,8041,569,1,competition
Mühle Waldhaus,2511,168,1,competition
Quaint Bierbrunnen,4240,492,1,competition
Heimat Tafelspitz,1030,7,1,competition
Bustling Lokal,1220,710,1,competition
Ruhige Gourmet,8010,127,1,competition
Ruhige Gastgewölbe,1170,7,1,competition
Maritime Scheune,1030,48,1,competition
Hohe Pizzeria,9560,652,1,competition
Wolkenkratzer Bodega,5020,293,1,competition
Glänzende Inn,6840,0,1,competition
Schöne Weinkeller,1060,8,1,competition
Verzauberte Krug,7041,3,1,competition
Alte Ort,1140,1945,1,competition
Countrified Küche,1020,833,1,competition
Gebackene Schlemmerparadies,1100,8,1,competition
Gute Platzl,1180,1,1,competition
Zirben Almhütte,1210,9,1,competition
Countrified Rathskeller,1070,40,1,competition
Berg Gesellschaftsraum,4840,248,1,competition
Schloss Schanke,5020,1,1,competition
Grüne Taverna,1210,289,1,competition
Fröhliche Kneipenlokal,1030,9,1,competition
Pittoreske Speakeasy,1220,4,1,competition
Berg Gasthof,1090,446,1,competition
Rote Ort,1160,43,1,competition
Elegante Felsenkeller,1090,41,1,competition
Märchenhafte Haus,1030,3,1,competition
Adventurous Wanderhütte,1050,43,1,competition
Bunte Alm,8010,574,1,competition
Dörfler Jausenstation,1060,8,1,competition
Sonnige Stadl,6020,49,1,competition
Blaue Dorf,1100,486,1,competition
Festliche Schänke,8010,40,1,competition
Sonnen Café,2230,290,1,competition
Kaiser Mühle,1090,5,1,competition
Herzliche Almhütte,5020,690,1,competition
Stern Hofladen,8010,9,1,competition
Hohe Tenne,2500,854,1,competition
Sonnige Kneipenlokal,1090,168,1,competition
Fröhliche Speisesaal,1030,374,1,competition
Verzauberte Mühle,4600,251,1,competition
Holz Pinte,2410,775,1,competition
Blumen Grillplatz,8054,432,1,competition
Rauchige Waldhaus,2521,248,1,competition
Grüne Tenne,1180,259,1,competition
Goldene Tenne,6020,1,1,competition
Blaue Schänke,2253,486,1,competition
Goldene Weinstube,5020,728,1,competition
Kaiser Hangout,8010,49,1,competition
Silberne Hideaway,8020,5,1,competition
Rasante Stüberl,8700,6,1,competition
Quaint Gaststube,1080,1171,1,competition
Große Salons,1090,7,1,competition
Märchenhafte See,1100,284,1,competition
Stern Heuriger,1010,324,1,competition
Ruhige Gasthof,7202,3,1,competition
Hohe Festscheune,2603,614,1,competition
Herbstliche Wanderhütte,5020,44,1,competition
Romantische Dorf,2640,126,1,competition
Glanzvolle Stüberl,4400,4,1,competition
Kultivierte Festscheune,1070,5,1,competition
Pittoreske Haus,1050,6,1,competition
Weinstube Ratsstube,4020,210,1,competition
Blaue Hofladen,1120,1,1,competition
Verträumte Schenke,9020,8,1,competition
Verträumte Brauhaus,8020,122,1,competition
Heimat Stubn,8010,325,1,competition
Grüne Speakeasy,1110,49,1,competition
Kleine Brauerei,9020,9,1,competition
Nostalgische Festscheune,4600,526,1,competition
Gasthof Speakeasy,6020,209,1,competition
Nostalgische Kellerstüberl,1220,1418,1,competition
Heimat Dorfschenke,5020,5,1,competition
Roter Stüberl,8055,43,1,competition
Rauchige Hofbräu,1180,84,1,competition
Glanzvolle Brauhaus,1180,435,1,competition
Bunte Soda fountain,8940,7,1,competition
Malerische Taverna,1170,5,1,competition
Glanzvolle Winkel,1040,44,1,competition
Schloss Pinte,4053,8,1,competition
Fischer Stadl,5020,8,1,competition
Rauchige Soda fountain,6414,5,1,competition
Rauchige Wirt,8741,211,1,competition
Gemütliche Ort,1070,1,1,competition
Traditionsreiche Krug,1170,693,1,competition
Gesellige Watering hole,6020,43,1,competition
Herbstliche Kneipe,1150,854,1,competition
Geheimnisvolle Gastgewölbe,1210,580,1,competition
Wolkenkratzer Winkel,1160,1181,1,competition
Große Wirt,2225,6,1,competition
Exotische Blick,3100,527,1,competition
Winterliche Speiselokal,4701,85,1,competition
Himmel Gastgewölbe,5020,246,1,competition
Ruhige Bierstube,8010,7,1,competition
Verzauberte Weinstube,9061,42,1,competition
Zirben Schanze,1030,411,1,competition
Rote Palast,1090,48,1,competition
Gute Ginmill,1090,3,1,competition
Heimat Bodega,6300,91,1,competition
Gemütliche Hof,1010,6,1,competition
Edelweiß Grillplatz,1090,567,1,competition
Gebackene Hideaway,1080,2,1,competition
Märchenhafte Bauernhof,1070,4,1,competition
Herzliche Stubn,6800,5,1,competition
Bergdorf Herrenhaus,5020,165,1,competition
Wolkenkratzer Festscheune,1050,89,1,competition
Blaue Platzl,1090,6,1,competition
