name,zip,kpi,Month 1,Month 2,delivery service
Rustikale Schanze,8020,# Commissionable Orders,699.0,822.0,deliverando
Rustikale Schanze,8020,Avg Basket Size €,22.5,23.33,deliverando
Rustikale Schanze,8020,# Negative Comments,3.0,4.0,deliverando
Rustikale Schanze,8020,# Positive Comments,1.0,1.0,deliverando
Rustikale Schanze,8020,% Kill Rate,52.0,46.0,deliverando
Rustikale Schanze,8020,Avg Time to Accept (s),17.0,15.0,deliverando
Alpen Stadl,8020,# Commissionable Orders,1178.0,1353.0,deliverando
Alpen Stadl,8020,Avg Basket Size €,19.12,19.95,deliverando
Alpen Stadl,8020,# Negative Comments,0.0,3.0,deliverando
Alpen Stadl,8020,# Positive Comments,1.0,1.0,deliverando
Alpen Stadl,8020,% Kill Rate,0.06,57.0,deliverando
Alpen Stadl,8020,Avg Time to Accept (s),9.0,9.0,deliverando
Herzliche Ort,8010,# Commissionable Orders,230.0,375.0,deliverando
Herzliche Ort,8010,Avg Basket Size €,23.82,24.73,deliverando
Herzliche Ort,8010,# Negative Comments,1.0,0.0,deliverando
Herzliche Ort,8010,# Positive Comments,1.0,1.0,deliverando
Herzliche Ort,8010,% Kill Rate,54.0,112.0,deliverando
Herzliche Ort,8010,Avg Time to Accept (s),19.0,20.0,deliverando
Glanzvolle Drinkery,8020,# Commissionable Orders,692.0,734.0,deliverando
Glanzvolle Drinkery,8020,Avg Basket Size €,24.6,25.68,deliverando
Glanzvolle Drinkery,8020,# Negative Comments,3.0,8.0,deliverando
Glanzvolle Drinkery,8020,# Positive Comments,1.0,1.0,deliverando
Glanzvolle Drinkery,8020,% Kill Rate,77.0,73.0,deliverando
Glanzvolle Drinkery,8020,Avg Time to Accept (s),27.0,28.0,deliverando
Blaue Hideaway,8020,# Commissionable Orders,365.0,410.0,deliverando
Blaue Hideaway,8020,Avg Basket Size €,24.13,24.18,deliverando
Blaue Hideaway,8020,# Negative Comments,2.0,0.0,deliverando
Blaue Hideaway,8020,# Positive Comments,1.0,1.0,deliverando
Blaue Hideaway,8020,% Kill Rate,39.0,44.0,deliverando
Blaue Hideaway,8020,Avg Time to Accept (s),20.0,18.0,deliverando
